Date,Open,High,Low,Close,Change %,Volume,log_return,volatility
2017-05-12,136000.0,140000.0,132000.0,136000.0,,0,,
2017-05-19,141000.0,145000.0,137000.0,141000.0,0.03676470588235303,0,0.03610500464211697,
2017-05-26,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,
2017-06-02,143000.0,147000.0,139000.0,143000.0,0.014184397163120588,0,0.014084739881738528,
2017-06-09,144500.0,149000.0,140000.0,144500.0,0.010489510489510412,0,0.01043487729257997,
2017-06-16,144500.0,149000.0,140000.0,144500.0,0.0,0,0.0,0.014796696994410274
2017-06-23,144500.0,149000.0,140000.0,144500.0,0.0,0,0.0,0.00683784023600307
2017-06-30,145500.0,150000.0,141000.0,145500.0,0.006920415224913601,0,0.006896579059061381,0.006273633062478123
2017-07-07,145500.0,150000.0,141000.0,145500.0,0.0,0,0.0,0.004908502596905578
2017-07-14,145500.0,150000.0,141000.0,145500.0,0.0,0,0.0,0.003084243917652559
2017-07-21,145500.0,150000.0,141000.0,145500.0,0.0,0,0.0,0.003084243917652559
2017-07-28,145500.0,150000.0,141000.0,145500.0,0.0,0,0.0,0.003084243917652559
2017-08-04,148500.0,153000.0,144000.0,148500.0,0.020618556701030855,0,0.020408871631206082,0.009127124862288763
2017-08-11,151500.0,156000.0,147000.0,151500.0,0.02020202020202011,0,0.02000066670666989,0.011067548873105196
2017-08-18,151500.0,156000.0,147000.0,151500.0,0.0,0,0.0,0.011067548873105196
2017-08-25,156000.0,160000.0,152000.0,156000.0,0.02970297029702973,0,0.029270382300113695,0.01324995964089932
2017-09-01,156000.0,160000.0,152000.0,156000.0,0.0,0,0.0,0.01324995964089932
2017-09-08,156000.0,160000.0,152000.0,156000.0,0.0,0,0.0,0.013885736338598763
2017-09-15,158000.0,162000.0,154000.0,158000.0,0.012820512820512775,0,0.012739025777429802,0.012904262709931502
2017-09-22,163000.0,167000.0,159000.0,163000.0,0.03164556962025311,0,0.031155167779795434,0.015158096063351535
2017-09-29,163000.0,167000.0,159000.0,163000.0,0.0,0,0.0,0.013671020550213084
2017-10-13,171000.0,175000.0,167000.0,171000.0,0.04907975460122693,0,0.04791335569589705,0.020873977167839147
2017-10-20,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.020873977167839147
2017-10-27,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.02244976532451691
2017-11-03,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.021427504073230512
2017-11-10,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.021427504073230512
2017-11-17,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.0
2017-11-24,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.0
2017-12-01,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.0
2017-12-08,171000.0,175000.0,167000.0,171000.0,0.0,0,0.0,0.0
2017-12-15,169000.0,173000.0,165000.0,169000.0,-0.011695906432748537,0,-0.011764841579585905,0.005261397103294022
2017-12-22,166000.0,170000.0,162000.0,166000.0,-0.017751479289940808,0,-0.017910926566530705,0.008412528526727192
2017-12-29,166000.0,170000.0,162000.0,166000.0,0.0,0,0.0,0.008412528526727192
2018-01-05,164000.0,168000.0,160000.0,164000.0,-0.012048192771084376,0,-0.012121360532345804,0.008011556900296136
2018-01-12,161500.0,165000.0,158000.0,161500.0,-0.015243902439024404,0,-0.015361285161485938,0.006868267545244721
2018-01-19,156500.0,160000.0,153000.0,156500.0,-0.03095975232198145,0,-0.03144913268250349,0.011311337667730691
2018-01-26,154500.0,158000.0,151000.0,154500.0,-0.012779552715655007,0,-0.012861913642408851,0.01125284840893224
2018-02-02,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.01125284840893224
2018-02-09,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.013021985465305017
2018-02-23,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.01380020836568045
2018-03-02,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.005752022645031631
2018-03-09,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.0
2018-03-16,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.0
2018-03-23,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.0
2018-03-30,154500.0,158000.0,151000.0,154500.0,0.0,0,0.0,0.0
2018-04-13,149500.0,153000.0,146000.0,149500.0,-0.032362459546925515,0,-0.032897703507059006,0.014712300269083437
2018-04-20,146500.0,150000.0,143000.0,146500.0,-0.02006688963210701,0,-0.020270964373619194,0.015229818152507017
2018-04-27,143500.0,147000.0,140000.0,143500.0,-0.020477815699658675,0,-0.020690393257444484,0.014406865406652626
2018-05-04,141000.0,144000.0,138000.0,141000.0,-0.017421602787456414,0,-0.01757514482150846,0.01181213546978225
2018-05-11,141000.0,144000.0,138000.0,141000.0,0.0,0,0.0,0.01181213546978225
2018-05-18,141000.0,144000.0,138000.0,141000.0,0.0,0,0.0,0.010753902331307946
2018-05-25,141000.0,144000.0,138000.0,141000.0,0.0,0,0.0,0.010537170015596462
2018-06-01,133000.0,136000.0,130000.0,133000.0,-0.05673758865248224,0,-0.05841076215641472,0.025327510928527534
2018-06-08,127000.0,130000.0,124000.0,127000.0,-0.045112781954887216,0,-0.04616204176316252,0.02896401634578991
2018-06-15,125000.0,128000.0,122000.0,125000.0,-0.015748031496062964,0,-0.015873349156290573,0.026894512873073408
2018-06-22,125000.0,128000.0,122000.0,125000.0,0.0,0,0.0,0.026894512873073408
2018-06-29,123000.0,126000.0,120000.0,123000.0,-0.016000000000000014,0,-0.01612938192988267,0.024105476856377223
2018-07-06,119000.0,122000.0,116000.0,119000.0,-0.03252032520325199,0,-0.03306086226088745,0.017761239448025334
2018-07-13,117000.0,120000.0,114000.0,117000.0,-0.01680672268907568,0,-0.016949558313774205,0.01169612015022844
2018-07-20,117000.0,120000.0,114000.0,117000.0,0.0,0,0.0,0.01383447150090494
2018-07-27,106000.0,109000.0,103000.0,106000.0,-0.09401709401709402,0,-0.0987348406856885,0.038575589022438794
2018-08-03,98000.0,101000.0,95000.0,98000.0,-0.07547169811320753,0,-0.0784716154414955,0.041716811731193286
2018-08-10,97000.0,100000.0,94000.0,97000.0,-0.010204081632653073,0,-0.010256500167189486,0.04455881307960468
2018-08-17,93000.0,96000.0,90000.0,93000.0,-0.04123711340206182,0,-0.04211148535012654,0.042555996457676014
2018-08-24,88000.0,91000.0,85000.0,88000.0,-0.053763440860215006,0,-0.055262678675049415,0.03395755741088716
2018-08-31,84000.0,87000.0,81000.0,84000.0,-0.045454545454545414,0,-0.0465200156348935,0.02465672566391986
2018-09-07,84000.0,87000.0,81000.0,84000.0,0.0,0,0.0,0.02420827381725491
2018-09-14,84000.0,87000.0,81000.0,84000.0,0.0,0,0.0,0.02669431456039633
2018-09-21,80500.0,83000.0,78000.0,80500.0,-0.04166666666666663,0,-0.04255961441879563,0.026750961995134676
2018-09-28,80500.0,83000.0,78000.0,80500.0,0.0,0,0.0,0.02443561200403455
2018-10-12,78000.0,80000.0,76000.0,78000.0,-0.03105590062111796,0,-0.03154835773492515,0.020665317248351387
2018-10-19,78000.0,80000.0,76000.0,78000.0,0.0,0,0.0,0.020665317248351387
2018-10-26,78000.0,80000.0,76000.0,78000.0,0.0,0,0.0,0.020665317248351387
2018-11-02,80000.0,82000.0,78000.0,80000.0,0.02564102564102555,0,0.02531780798428862,0.020177501870035155
2018-11-09,80000.0,82000.0,78000.0,80000.0,0.0,0,0.0,0.020177501870035155
2018-11-16,80000.0,82000.0,78000.0,80000.0,0.0,0,0.0,0.011322467938831257
2018-11-23,80000.0,82000.0,78000.0,80000.0,0.0,0,0.0,0.011322467938831257
2018-11-30,80000.0,82000.0,78000.0,80000.0,0.0,0,0.0,0.011322467938831257
2018-12-07,80000.0,82000.0,78000.0,80000.0,0.0,0,0.0,0.0
