Date,Open,High,Low,Close,Change %,Volume,log_return,volatility
2017-05-10,136000.0,140000.0,132000.0,136000.0,0.0,0,,
2017-05-11,136000.0,140000.0,132000.0,136000.0,0.0,0,0.0,
2017-05-12,136000.0,140000.0,132000.0,136000.0,0.0,0,0.0,
2017-05-15,136000.0,140000.0,132000.0,136000.0,0.0,0,0.0,
2017-05-16,136000.0,140000.0,132000.0,136000.0,0.0,0,0.0,
2017-05-17,136000.0,140000.0,132000.0,136000.0,0.0,0,0.0,0.0
2017-05-18,136000.0,140000.0,132000.0,136000.0,0.0,0,0.0,0.0
2017-05-19,141000.0,145000.0,137000.0,141000.0,3.68,0,0.03610500464211697,0.0161466489415438
2017-05-22,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0161466489415438
2017-05-23,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0161466489415438
2017-05-24,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0161466489415438
2017-05-25,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0161466489415438
2017-05-26,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0
2017-05-30,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0
2017-05-31,141000.0,145000.0,137000.0,141000.0,0.0,0,0.0,0.0
2017-06-01,143000.0,147000.0,139000.0,143000.0,1.42,0,0.014084739881738528,0.00629888716419394
2017-06-02,143000.0,147000.0,139000.0,143000.0,0.0,0,0.0,0.00629888716419394
2017-06-05,143000.0,147000.0,139000.0,143000.0,0.0,0,0.0,0.00629888716419394
2017-06-06,144500.0,149000.0,140000.0,144500.0,1.05,0,0.01043487729257997,0.006837840236003068
2017-06-07,144500.0,149000.0,140000.0,144500.0,0.0,0,0.0,0.006837840236003068
2017-06-08,144500.0,149000.0,140000.0,144500.0,0.0,0,0.0,0.004666618992615555
2017-06-09,144500.0,149000.0,140000.0,144500.0,0.0,0,0.0,0.004666618992615555
2017-06-12,144500.0,149000.0,140000.0,144500.0,0.0,0,0.0,0.004666618992615555
